case_id,amount_due,days_overdue,monthly_income,monthly_expense,payment_history_score,missed_payments,previous_recovery_rate,contact_success_rate,last_payment_days_ago,account_age_days,reminders_received,digital_engagement,hardship_flag,recovered,recovery_days
15514,1001.02,171,56147.46,43388.56,44.0,0,0.364,0.243,102,1407,0,0.956,0,0,
15515,3970.26,148,38051.38,14660.87,49.57,2,0.373,0.862,38,1823,6,0.785,0,0,
15516,13454.23,72,40492.03,17062.23,66.28,1,0.915,0.552,96,2266,6,0.49,1,0,
15517,2035.34,2,20765.25,12240.12,81.0,0,0.506,0.079,44,1280,1,0.603,0,0,
15518,5164.06,114,23892.24,13144.48,97.65,5,0.183,0.752,8,1342,2,0.395,0,1,28.0
15519,5200.95,155,24691.57,10884.12,30.73,0,0.599,0.216,168,2456,5,0.411,0,0,
15520,3474.32,34,41091.76,33863.4,87.95,3,0.186,0.305,72,891,5,0.619,0,1,19.0
15521,2997.52,55,20621.47,10172.86,47.89,2,0.46,0.026,30,2303,2,0.222,1,0,
15522,1424.04,164,13285.63,7551.52,50.79,3,0.155,0.713,6,2364,5,0.031,0,0,
15523,480.42,107,18057.15,13424.89,95.07,3,0.642,0.807,64,643,3,0.275,0,1,21.0
15524,1224.78,72,47399.86,34574.3,34.16,1,0.456,0.605,163,2146,6,0.825,0,1,9.0
15525,2181.48,69,83951.18,30554.08,44.38,2,0.865,0.139,113,2492,7,0.849,1,0,
15526,7171.99,104,58365.24,44021.49,42.83,4,0.146,0.102,110,136,6,0.221,0,0,
15527,2744.89,65,21143.23,20050.09,30.04,1,0.208,0.606,56,116,4,0.469,0,0,
15528,1968.01,126,23659.38,9476.63,28.8,1,0.24,0.91,42,156,2,0.96,0,0,
15529,1461.49,85,26504.57,19948.79,94.83,0,0.401,0.859,52,1826,7,0.226,0,1,14.0
15530,5041.43,172,16747.12,12212.75,30.09,1,0.86,0.534,130,946,3,0.68,0,0,
15531,8836.85,43,32808.19,14708.39,99.24,1,0.372,0.864,16,173,2,0.691,0,1,18.0
15532,6979.61,74,45602.26,38911.76,34.59,1,0.634,0.127,56,950,4,0.42,0,1,15.0
15533,4841.21,21,22191.32,13656.3,92.22,2,0.357,0.74,53,354,2,0.334,0,0,
15534,915.54,141,19955.51,11284.5,42.1,2,0.152,0.474,65,1102,3,0.523,1,0,
15535,2249.94,108,53597.45,49722.32,40.8,2,0.602,0.101,11,1792,7,0.552,1,0,
15536,14155.29,114,23077.72,14259.14,76.32,1,0.972,0.198,133,1750,7,0.491,0,1,23.0
15537,7314.11,28,24443.28,14314.13,73.66,0,0.759,0.088,42,2292,3,0.354,0,0,
15538,871.31,158,10962.47,3985.26,65.06,3,0.854,0.963,160,2283,0,0.877,1,0,
15539,2851.29,82,57498.49,47078.22,73.58,3,0.237,0.205,138,743,2,0.963,1,0,
15540,3985.74,106,70118.75,66190.27,83.44,0,0.505,0.23,122,1097,4,0.915,0,0,
15541,1620.15,130,30838.38,23033.37,68.21,3,0.384,0.182,144,514,1,0.127,0,0,
15542,469.95,58,35145.73,20216.46,94.9,3,0.54,0.025,7,693,2,0.153,0,0,
15543,3226.2,21,46147.9,16696.42,93.12,2,0.181,0.515,121,1109,1,0.073,0,1,16.0
15544,1587.31,90,50512.5,32933.01,70.1,0,0.463,0.673,11,2342,6,0.639,0,1,5.0
15545,1592.29,174,34882.45,25409.89,50.52,3,0.431,0.386,177,1815,2,0.269,1,0,
15546,2244.54,83,27078.95,15720.98,45.59,1,0.106,0.501,109,1657,6,0.618,0,1,24.0
15547,2678.63,25,33520.61,31330.23,46.52,4,0.727,0.286,98,1683,6,0.107,1,0,
15548,2959.38,57,29918.63,12153.89,97.8,1,0.597,0.784,134,1412,2,0.755,0,1,21.0
15549,1469.69,148,40878.96,27165.61,33.95,2,0.109,0.061,113,512,4,0.607,0,0,
15550,2499.47,6,21130.11,11475.41,97.79,4,0.089,0.625,31,1936,1,0.877,0,1,3.0
15551,730.74,18,65086.15,41049.64,47.71,0,0.708,0.594,41,1928,0,0.144,1,0,
15552,3823.15,177,97295.39,36723.93,26.36,3,0.133,0.376,6,735,3,0.247,0,0,
15553,303.38,148,25290.78,23456.65,73.76,4,0.334,0.371,19,1131,3,0.312,0,0,
15554,2364.7,103,24531.36,14797.98,49.92,1,0.964,0.475,173,1887,4,0.427,0,1,24.0
15555,6218.9,162,23724.96,9125.44,64.51,1,0.473,0.861,81,2371,1,0.29,0,0,
15556,1277.33,138,28636.32,26970.22,61.62,1,0.816,0.212,114,943,3,0.146,0,0,
15557,5287.73,33,86818.59,81624.37,32.27,1,0.891,0.094,5,188,4,0.606,1,0,
15558,7514.47,115,27231.03,18229.71,37.56,6,0.958,0.84,136,1429,3,0.199,0,0,
15559,211.38,147,38714.59,29682.47,85.91,1,0.346,0.682,116,901,4,0.657,0,0,
15560,2640.99,47,28721.84,10676.1,43.49,2,0.916,0.553,120,444,6,0.785,0,0,
15561,298.68,177,13019.41,6197.11,51.7,3,0.839,0.511,101,1695,7,0.795,0,0,
15562,2711.98,30,27502.99,11665.19,71.24,1,0.755,0.115,176,1076,7,0.21,0,0,
15563,2963.91,59,35465.09,25724.53,40.92,2,0.389,0.542,64,1579,6,0.797,1,1,15.0
15564,409.1,31,77698.78,68478.29,53.88,5,0.223,0.701,162,1164,1,0.0,1,0,
15565,13903.15,21,15138.36,7812.91,23.93,1,0.36,0.273,41,934,4,0.594,0,1,1.0
15566,3747.38,17,58223.46,47093.39,89.68,2,0.205,0.238,123,1583,3,0.639,0,0,
15567,1511.38,179,40648.92,15778.19,30.54,0,0.942,0.137,114,229,7,0.015,0,0,
15568,9626.77,152,34511.83,21004.38,77.07,3,0.59,0.908,47,623,2,0.642,0,0,
15569,708.75,168,21526.86,8848.65,47.33,3,0.695,0.369,91,1339,4,0.835,0,0,
15570,1115.06,98,67023.78,41714.34,49.38,3,0.617,0.251,162,1313,5,0.658,0,1,16.0
15571,473.63,175,42855.11,35017.73,61.59,1,0.623,0.372,46,176,0,0.588,1,0,
15572,12592.24,20,35448.83,17598.15,26.56,4,0.1,0.408,169,1934,6,0.279,0,0,
15573,3888.88,16,34417.25,24084.36,45.03,2,0.665,1.0,20,978,1,0.659,0,1,24.0
15574,5051.91,58,57686.62,24274.68,81.22,7,0.499,0.372,42,1117,1,0.038,1,0,
15575,3792.58,49,23588.8,13037.43,97.88,2,0.327,0.522,135,2431,2,0.639,0,1,22.0
15576,4717.41,170,73973.99,58007.1,39.69,1,0.369,0.016,8,1948,3,0.145,0,0,
15577,3173.09,140,108535.3,87875.8,28.02,2,0.836,0.588,85,903,5,0.539,0,0,
15578,3702.4,169,31088.71,28843.37,73.07,4,0.743,0.847,128,1338,5,0.47,1,0,
15579,3248.94,60,69174.85,35123.1,69.56,2,0.807,0.848,79,1027,6,0.671,1,1,19.0
15580,1831.93,24,27024.35,21823.52,51.32,0,0.847,0.603,160,1222,0,0.897,0,1,20.0
15581,2871.82,13,20543.86,17931.36,63.76,1,0.864,0.697,106,2306,5,0.827,0,0,
15582,3710.33,34,27056.89,16092.73,63.14,3,0.23,0.653,83,109,2,0.336,0,1,29.0
15583,3256.6,155,44461.74,30551.58,26.49,2,0.376,0.08,25,1669,1,0.978,0,0,
15584,913.96,85,32104.63,20375.73,93.74,4,0.087,0.984,158,1246,6,0.138,0,0,
15585,1016.39,67,44293.58,32713.32,59.42,1,0.118,0.327,37,1655,4,0.187,0,0,
15586,7088.81,14,41219.62,26644.76,28.23,6,0.477,0.605,8,2248,1,0.568,0,0,
15587,2331.82,107,29214.75,19796.75,53.31,4,0.315,0.995,141,2036,6,0.597,1,0,
15588,4758.94,101,19594.07,15473.49,99.92,3,0.771,0.805,171,2267,3,0.269,1,1,17.0
15589,1244.27,41,35608.13,25862.6,81.99,3,0.382,0.027,99,1365,7,0.729,0,0,
15590,917.34,108,18184.97,9130.0,95.79,1,0.166,0.934,112,1890,1,0.682,0,0,
15591,1517.96,158,37461.05,24464.75,43.01,3,0.854,0.632,162,1922,0,0.767,0,0,
15592,2494.76,45,42770.5,18037.57,45.91,1,0.299,0.809,148,396,7,0.961,0,0,
15593,1750.9,74,11290.21,4020.63,95.92,3,0.296,0.922,93,359,1,0.84,0,0,
15594,8392.95,1,68233.54,40494.89,39.23,0,0.821,0.784,91,2488,1,0.774,0,1,28.0
15595,3441.35,103,30552.12,11683.02,46.48,1,0.656,0.616,37,2213,0,0.103,0,0,
15596,13084.07,92,46704.44,27375.56,89.08,2,0.706,0.84,125,1083,1,0.022,0,0,
15597,4119.66,94,26118.15,13230.52,30.6,3,0.43,0.664,10,2145,1,0.203,0,0,
15598,432.66,84,29522.62,13370.49,26.16,0,0.321,0.904,39,928,6,0.11,1,0,
15599,6938.45,180,80811.36,43456.1,90.78,2,0.385,0.175,135,1229,0,0.659,0,0,
15600,891.01,20,18403.09,13602.15,46.79,1,0.484,0.102,157,474,6,0.836,0,1,17.0
15601,3584.69,23,28048.24,25016.64,38.69,0,0.814,0.479,69,2114,1,0.328,0,0,
15602,1604.0,95,37141.65,33741.58,53.09,2,0.674,0.293,103,2438,7,0.317,0,1,20.0
15603,16550.45,96,10537.35,7839.19,65.12,0,0.982,0.123,122,2379,5,0.666,0,1,7.0
15604,9430.25,116,22769.04,14083.26,80.33,0,0.677,0.682,170,911,6,0.724,0,0,
15605,1646.72,90,54397.31,49128.16,45.07,3,0.582,0.641,156,102,4,0.771,0,0,
15606,2692.2,6,19077.92,10965.8,74.61,2,0.735,0.242,20,356,2,0.543,0,1,21.0
15607,3625.25,161,39196.6,19753.54,36.74,3,0.614,0.018,98,471,3,0.106,1,0,
15608,5947.53,8,42936.88,24022.96,20.76,1,0.816,0.631,6,1530,6,0.046,0,1,25.0
15609,3051.3,63,46676.79,21760.11,94.87,2,0.867,0.432,136,913,7,0.676,1,0,
15610,1313.02,124,21364.52,18328.66,89.07,2,0.963,0.754,115,998,3,0.823,1,0,
15611,1679.0,132,39279.33,21695.44,93.62,2,0.834,0.702,120,2464,4,0.874,0,1,10.0
15612,2970.29,141,20176.32,16768.06,84.3,1,0.723,0.607,2,1827,1,0.637,0,0,
15613,8002.95,35,31263.78,25770.31,22.56,2,0.51,0.697,107,663,0,0.371,0,0,
15614,4197.61,93,55963.51,36362.33,23.06,1,0.292,0.873,72,1877,6,0.54,0,0,
15615,1605.62,162,23709.07,15047.86,71.63,3,0.27,0.243,140,219,4,0.725,0,0,
15616,5007.53,56,47320.47,42956.94,90.37,1,0.574,0.206,34,588,7,0.956,1,1,9.0
15617,2187.28,139,34909.53,33119.67,81.04,3,0.31,0.863,149,1497,7,0.005,0,0,
15618,6077.36,38,53027.92,49634.54,55.1,0,0.203,0.792,50,1777,4,0.218,0,0,
15619,22507.6,173,13558.09,11937.49,23.79,0,0.463,0.936,85,1695,0,0.141,0,1,3.0
15620,2237.11,86,65382.81,47869.65,43.66,1,0.632,0.328,118,1524,4,0.92,0,0,
15621,5660.59,118,14729.04,7374.21,89.89,0,0.936,0.242,52,1530,4,0.137,1,0,
15622,1642.02,162,19641.1,12465.79,31.35,2,0.897,0.926,132,2022,6,0.889,0,1,14.0
15623,2724.91,110,64300.92,41923.55,24.86,1,0.417,0.723,80,1389,6,0.015,1,0,
15624,3052.3,75,34958.9,17490.1,72.79,0,0.34,0.201,101,2071,6,0.66,1,0,
15625,2553.07,92,29088.35,25441.38,31.86,6,0.309,0.731,126,1591,1,0.796,0,0,
15626,21384.27,119,58136.78,34699.07,38.55,1,0.786,0.087,132,1864,7,0.978,0,0,
15627,2332.57,152,34040.6,24565.48,93.55,2,0.804,0.123,141,2474,5,0.106,0,1,2.0
15628,4767.04,74,22110.69,17874.93,34.01,2,0.834,0.216,20,1057,2,0.555,0,0,
15629,636.47,63,67738.95,53019.53,97.79,0,0.375,0.866,12,320,6,0.465,0,0,
15630,4211.6,109,41409.36,29247.84,28.67,1,0.229,0.522,147,1543,5,0.395,1,0,
15631,7432.69,167,19148.8,11617.59,33.54,3,0.402,0.602,111,1537,1,0.328,1,0,
15632,1954.56,149,24700.37,14681.76,32.92,0,0.109,0.245,122,846,2,0.686,0,0,
15633,400.14,164,21978.28,11848.83,94.27,1,0.209,0.584,48,187,7,0.569,0,1,22.0
15634,2890.19,48,20092.5,11166.0,88.04,1,0.034,0.863,55,514,6,0.681,0,1,12.0
15635,3022.22,84,33931.33,30761.9,22.84,0,0.569,0.395,23,950,5,0.323,0,0,
15636,5320.17,141,34954.94,17713.58,98.67,4,0.555,0.892,174,745,7,0.019,1,0,
15637,14894.13,2,44890.23,40211.93,33.85,1,0.752,0.724,175,1455,3,0.02,0,1,30.0
15638,2199.44,111,48038.79,37359.95,78.8,2,0.148,0.993,28,2031,0,0.418,0,0,
15639,1502.63,155,55423.89,29616.69,34.91,1,0.381,0.919,23,1172,1,0.813,1,0,
15640,1172.0,7,60446.77,55523.62,25.55,4,0.887,0.788,5,2372,6,0.128,0,1,7.0
15641,3492.81,105,46316.93,43637.36,99.76,3,0.378,0.887,166,368,1,0.213,0,1,27.0
15642,4374.22,19,43397.1,31362.11,91.01,1,0.479,0.518,71,2292,0,0.443,0,1,5.0
15643,1926.53,168,58918.75,28969.96,26.84,2,0.859,0.836,166,125,6,0.755,1,0,
15644,5557.74,21,44643.96,26362.65,55.93,1,0.503,0.996,140,2208,2,0.878,0,1,2.0
15645,4325.6,58,22552.86,20836.47,45.48,1,0.559,0.755,104,1443,6,0.039,0,0,
15646,3085.86,154,18097.17,10995.93,22.15,2,0.944,0.596,163,2010,7,0.214,1,0,
15647,1448.19,36,21745.4,11754.34,65.0,1,0.929,0.397,173,2075,6,0.342,0,0,
15648,2027.4,44,42515.57,34005.88,66.47,6,0.212,0.589,62,184,3,0.988,0,0,
15649,426.75,64,31166.41,21003.96,53.24,2,0.949,0.49,37,2126,6,0.526,1,0,
15650,3599.79,27,40681.18,28971.24,85.76,1,0.407,0.442,27,725,4,0.178,0,1,24.0
15651,3044.44,136,31923.7,23327.91,59.13,3,0.631,0.907,23,2032,3,0.942,0,0,
15652,3466.09,90,22932.83,20662.76,31.23,5,0.43,0.485,126,1065,7,0.312,0,0,
15653,4462.46,129,9931.61,6519.38,49.23,3,0.07,0.657,14,528,6,0.325,0,0,
15654,4058.86,127,19732.58,11932.28,39.29,1,0.175,0.641,12,886,6,0.566,0,0,
15655,2729.01,23,86999.73,80179.54,93.8,3,0.308,0.223,74,2148,2,0.201,0,1,7.0
15656,3099.31,73,58772.37,22231.67,82.33,4,0.373,0.168,81,1652,1,0.514,1,0,
15657,969.27,31,24973.51,21073.59,21.29,2,0.028,0.77,62,2045,1,0.419,0,0,
15658,1868.75,135,27792.2,17016.62,68.55,0,0.767,0.148,105,172,0,0.403,0,0,
15659,3103.78,9,28251.58,24280.82,63.53,0,0.441,0.596,112,1605,7,0.891,1,1,11.0
15660,1654.6,125,62639.74,40268.42,47.16,4,0.613,0.679,141,511,0,0.08,1,0,
15661,5932.02,116,57211.63,22562.67,57.36,5,0.011,0.921,14,1264,0,0.483,0,0,
15662,1760.04,144,58797.62,26411.9,54.68,3,0.139,0.957,118,2051,6,0.541,0,0,
15663,3544.12,152,21884.5,11679.14,99.1,3,0.573,0.926,164,2067,6,0.945,0,0,
15664,3272.31,74,88686.49,37096.31,21.74,0,0.838,0.179,111,1118,5,0.751,0,0,
15665,5415.51,174,31403.9,27350.68,73.66,1,0.605,0.116,120,280,3,0.326,0,0,
15666,6128.06,157,55205.95,27006.2,22.08,2,0.46,0.236,67,921,6,0.443,0,0,
15667,5193.83,30,42028.03,39770.51,66.25,2,0.64,0.635,114,884,7,0.926,1,1,19.0
15668,552.91,179,15440.54,8168.97,47.86,3,0.798,0.125,128,574,6,0.872,0,0,
15669,7749.0,159,28071.13,17355.27,50.84,1,0.507,0.294,90,208,3,0.33,0,0,
15670,10115.73,30,35591.78,31589.65,54.94,4,0.265,0.126,92,454,2,0.707,0,0,
15671,2026.98,34,24047.34,17365.33,68.57,2,0.713,0.382,49,948,5,0.406,0,0,
15672,3602.26,19,17321.95,15298.21,65.37,2,0.233,0.174,80,958,0,0.268,0,1,9.0
15673,1461.67,156,28863.55,20926.09,73.99,5,0.223,0.951,148,1481,2,0.816,0,0,
15674,627.22,6,69828.1,36842.61,83.51,4,0.509,0.632,143,2227,5,0.809,1,1,13.0
15675,1650.82,145,47854.77,28239.16,50.96,3,0.743,0.686,13,966,1,0.206,0,0,
15676,1935.05,101,27513.62,16761.55,53.75,1,0.384,0.668,33,1278,6,0.195,0,1,15.0
15677,2244.23,91,40528.23,19127.08,52.91,1,0.165,0.428,138,993,6,0.624,1,0,
15678,1384.19,107,18382.92,10278.79,36.22,1,0.758,0.458,163,1053,6,0.651,0,0,
15679,1657.82,164,35894.39,33394.99,49.51,1,0.468,0.961,45,2016,4,0.461,1,0,
15680,2954.83,1,13724.44,5629.49,64.78,3,0.168,0.256,82,1688,5,0.271,0,0,
15681,1609.72,144,20012.06,17376.1,48.39,3,0.613,0.847,53,1998,3,0.36,0,0,
15682,4604.64,47,54004.77,43455.33,34.37,3,0.814,0.765,44,2495,3,0.677,1,0,
15683,5142.67,23,26811.29,24190.32,62.58,5,0.928,0.882,1,2104,0,0.556,0,1,18.0
15684,20016.46,85,28750.94,23916.99,39.63,2,0.737,0.549,136,1576,1,0.599,0,0,
15685,7335.96,88,34330.76,30583.25,38.84,5,0.247,0.856,41,907,4,0.244,0,0,
15686,3620.92,143,77992.71,31447.38,38.84,1,0.709,0.543,79,202,7,0.418,1,0,
15687,1814.91,67,5744.44,3401.28,21.5,4,0.761,0.422,95,1976,5,0.102,1,0,
15688,3770.63,43,22618.32,20520.62,77.66,0,0.904,0.117,110,728,3,0.347,0,1,15.0
15689,3871.03,136,118053.6,56397.68,66.79,1,0.912,0.223,118,1300,3,0.169,0,0,
15690,1977.03,115,64121.08,30288.36,40.77,1,0.639,0.328,144,1718,6,0.415,1,0,
15691,5580.23,98,46526.47,43163.41,90.04,1,0.572,0.31,110,2246,6,0.688,0,1,20.0
15692,974.11,172,40855.76,22529.21,50.5,3,0.176,0.727,112,1795,2,0.244,0,0,
15693,2451.56,26,31617.97,17289.48,96.35,3,0.304,0.886,92,2251,6,0.452,0,0,
15694,4650.3,160,18020.07,12946.66,73.36,1,0.2,0.554,70,973,3,0.901,0,0,
15695,2368.31,64,28999.7,21154.93,64.39,1,0.489,0.42,137,2269,3,0.248,0,0,
15696,2526.52,43,33669.41,29955.21,98.44,2,0.981,0.115,22,1285,0,0.25,0,0,
15697,2669.83,112,63443.31,23556.8,65.02,1,0.485,0.443,118,340,0,0.718,0,0,
15698,1527.7,62,42615.27,34117.04,62.09,0,0.13,0.735,51,1985,0,0.759,0,1,21.0
15699,7624.49,139,36967.66,24424.25,49.66,2,0.547,0.189,166,1530,4,0.677,0,0,
15700,1320.24,118,25795.57,19348.3,68.22,1,0.453,0.333,6,805,5,0.687,0,1,26.0
15701,3844.99,137,28273.18,18532.08,29.99,0,0.008,0.307,178,427,7,0.618,0,0,
15702,4150.23,48,14949.48,12189.75,38.55,1,0.61,0.902,46,1347,3,0.911,0,1,20.0
15703,1395.63,134,40120.96,32494.79,85.51,2,0.788,0.874,91,2031,1,0.153,0,1,9.0
15704,3160.49,54,19235.8,17120.19,71.22,2,0.17,0.314,78,274,3,0.008,0,0,
15705,1439.85,62,30052.69,27461.05,61.19,4,0.745,0.55,73,999,0,0.496,0,0,
15706,9070.97,127,59726.59,28849.73,41.64,3,0.842,0.113,128,1795,2,0.188,0,0,
15707,1198.68,121,40818.2,38414.43,28.76,1,0.742,0.593,111,634,3,0.537,1,0,
15708,1766.72,98,42288.23,29786.09,96.1,2,0.261,0.116,70,2301,2,0.89,0,0,
15709,1119.48,56,66060.99,50995.11,49.97,1,0.24,0.491,38,1592,6,0.256,0,0,
15710,1006.1,82,50377.37,37813.62,78.43,1,0.156,0.393,37,699,0,0.194,1,0,
15711,10646.35,87,33486.11,29025.95,56.73,3,0.917,0.071,140,1977,3,0.842,0,1,5.0
15712,4601.88,158,13189.36,9913.72,66.19,0,0.092,0.671,66,2478,0,0.954,0,1,6.0
15713,3335.02,131,29056.21,24456.21,92.14,4,0.454,0.249,165,118,3,0.965,0,0,
15714,1762.94,128,34341.4,19495.2,76.47,3,0.372,0.469,39,2454,0,0.109,0,0,
15715,6161.59,61,35948.32,31364.43,30.57,3,0.86,0.149,121,1723,3,0.134,0,0,
15716,1541.67,143,15971.71,10562.46,58.35,3,0.781,0.859,2,2081,5,0.78,0,1,29.0
15717,5624.64,3,39381.99,19976.5,94.96,0,0.68,0.83,158,923,0,0.562,0,1,15.0
15718,1483.25,143,51813.76,41104.78,85.39,2,0.084,0.423,98,831,0,0.692,0,0,
15719,1780.04,157,29768.64,13360.73,44.48,3,0.375,0.286,43,1263,0,0.596,1,0,
15720,5467.77,31,44834.34,41626.47,84.18,5,0.115,0.237,8,686,5,0.525,0,0,
15721,5949.5,71,25634.43,22540.17,21.77,1,0.83,0.323,9,1415,4,0.816,0,0,
15722,4807.72,55,40377.01,18839.77,83.46,2,0.302,0.811,90,1274,2,0.286,1,0,
15723,1287.25,92,91452.39,53276.85,85.26,1,0.765,0.94,90,1789,4,0.371,0,0,
15724,2085.2,124,29102.06,16898.67,60.98,2,0.069,0.534,135,1891,2,0.378,0,0,
15725,3379.62,171,20156.71,8435.59,21.48,2,0.697,0.949,150,796,0,0.053,0,0,
15726,1511.07,110,51858.23,39668.6,40.97,4,0.542,0.182,61,1056,1,0.992,0,0,
15727,8926.42,104,31244.12,25115.08,64.77,0,0.899,0.12,61,1646,6,0.711,1,0,
15728,436.35,25,24226.55,12977.76,51.71,2,0.501,0.244,175,409,7,0.142,0,1,28.0
15729,1598.8,120,24603.79,16229.99,67.72,3,0.413,0.692,105,2347,2,0.292,0,0,
15730,1982.96,50,40326.13,30658.94,84.44,2,0.793,0.224,23,1616,3,0.747,0,0,
15731,306.39,38,36579.45,28824.87,41.35,1,0.471,0.327,61,568,7,0.454,1,0,
15732,975.56,60,68029.86,62737.24,36.53,2,0.004,0.634,86,283,0,0.745,0,0,
15733,4915.91,85,44097.7,33801.34,73.37,2,0.342,0.954,148,1827,6,0.469,0,1,13.0
15734,3054.06,180,57865.29,42904.36,79.4,2,0.3,0.795,165,1311,1,0.541,0,0,
15735,10493.47,84,36166.53,24729.4,68.42,3,0.455,0.306,30,1014,2,0.006,1,0,
15736,10261.78,76,45713.47,23034.52,38.87,1,0.154,0.728,14,611,4,0.757,0,1,15.0
15737,4215.14,173,34924.08,25794.19,36.53,2,0.661,0.1,2,2140,7,0.991,0,0,
15738,3829.89,100,88480.04,67299.39,95.86,0,0.591,0.037,68,149,4,0.858,0,0,
15739,3142.41,112,45231.77,32599.36,74.93,0,0.304,0.182,82,547,4,0.556,0,0,
15740,356.36,19,17323.84,16318.88,86.49,4,0.379,0.696,139,349,1,0.392,0,1,7.0
15741,976.87,133,32592.3,14405.74,86.74,0,0.859,0.619,164,2347,6,0.702,0,1,14.0
15742,3230.98,170,40157.56,33147.58,58.91,0,0.188,0.429,128,1119,1,0.702,0,0,
15743,4879.61,122,35583.72,23846.69,83.92,1,0.22,0.258,68,1264,7,0.49,0,0,
15744,3758.35,93,54362.56,47279.76,66.22,5,0.133,0.265,48,1466,6,0.566,0,0,
15745,1459.76,101,28172.43,14513.52,56.64,3,0.148,0.756,97,596,1,0.966,0,0,
15746,6310.21,30,36398.43,24069.68,49.84,3,0.967,0.973,162,1287,0,0.184,0,1,7.0
15747,9759.1,65,56730.36,48247.12,66.33,1,0.437,0.471,9,1778,2,0.48,0,0,
15748,6313.16,76,17878.74,6462.03,33.33,3,0.124,0.531,73,1705,5,0.617,1,0,
15749,6579.27,5,22328.38,20412.05,22.46,0,0.694,0.907,172,643,1,0.468,0,0,
15750,1905.73,38,94262.48,36437.79,78.79,0,0.334,0.057,124,2121,2,0.447,0,1,24.0
15751,7049.75,139,30050.79,15090.7,74.39,1,0.276,0.942,88,661,0,0.487,0,0,
15752,3349.64,84,55149.66,45007.94,26.25,2,0.159,0.264,51,804,5,0.775,0,0,
15753,4488.37,29,62058.32,21776.56,63.15,1,0.744,0.61,107,1350,6,0.227,0,1,17.0
15754,3993.19,14,18980.14,12537.71,84.42,5,0.811,0.34,147,579,2,0.295,0,1,3.0
15755,2704.87,74,23620.91,11831.77,29.6,1,0.561,0.633,11,1131,6,0.239,0,1,22.0
15756,1498.17,91,36481.3,27725.35,93.49,2,0.388,0.74,74,2287,1,0.422,0,0,
15757,2791.38,108,25902.56,12746.45,52.23,4,0.045,0.142,35,96,3,0.476,0,0,
15758,6564.35,10,44403.45,18411.72,23.96,3,0.066,0.314,28,1975,7,0.588,1,0,
15759,2093.97,39,47266.76,19246.24,51.53,3,0.319,0.028,83,198,2,0.253,1,0,
15760,6091.67,60,40227.06,34650.68,51.51,3,0.005,0.783,165,1461,6,0.598,0,0,
15761,5375.77,96,35422.87,26411.64,65.77,5,0.525,0.399,180,1097,5,0.729,1,0,
15762,2346.9,151,48429.36,27363.61,90.61,0,0.331,0.781,47,1515,7,0.06,0,0,
15763,9054.71,97,65946.96,31974.03,55.41,3,0.665,0.618,128,862,6,0.987,1,0,
15764,2242.98,150,69624.46,45621.2,21.98,3,0.924,0.592,52,1773,5,0.755,0,0,
15765,9973.01,117,41555.3,38205.86,64.57,1,0.559,0.055,146,1209,0,0.855,0,1,27.0
15766,4218.78,87,23426.88,19818.3,27.45,2,0.838,0.659,6,2311,2,0.877,0,0,
15767,2943.36,151,33265.29,22127.87,86.76,3,0.265,0.636,78,1847,4,0.533,1,0,
15768,1465.22,22,50943.24,28985.01,64.95,0,0.774,0.438,53,1142,4,0.264,0,0,
15769,2777.74,19,62905.52,57089.45,82.3,1,0.109,0.14,14,1550,4,0.229,0,0,
15770,2532.58,22,61896.24,34078.44,98.13,1,0.405,0.95,110,1311,4,0.928,0,1,24.0
15771,1089.38,127,33250.55,14193.01,40.11,2,0.182,0.187,87,778,4,0.227,0,0,
15772,2504.66,129,40647.03,31611.41,63.19,1,0.578,0.343,134,1593,6,0.163,0,0,
15773,1567.06,162,47095.82,34579.68,98.03,1,0.421,0.135,121,663,1,0.176,0,0,
15774,4763.76,124,75393.77,41052.04,99.86,3,0.564,0.065,105,2142,6,0.043,0,0,
15775,8476.26,26,24890.8,12331.85,87.98,3,0.878,0.894,93,1711,1,0.324,0,0,
15776,1117.07,4,45703.06,29834.45,45.29,2,0.135,0.637,61,1210,2,0.121,0,0,
15777,11729.31,176,28078.25,18459.65,99.44,2,0.291,0.382,175,2388,2,0.829,1,0,
15778,2689.63,45,65135.21,50768.5,91.52,2,0.24,0.11,37,1877,3,0.275,0,0,
15779,1366.47,12,35727.17,20437.79,97.0,2,0.83,0.933,145,166,0,0.161,1,0,
15780,5465.46,92,40912.13,21660.25,72.82,2,0.375,0.631,114,372,3,0.542,1,0,
15781,2085.65,37,23887.27,11589.9,84.17,3,0.76,0.14,64,1100,2,0.321,0,0,
15782,2792.27,131,29321.5,20884.99,47.61,4,0.363,0.638,117,1651,0,0.397,1,0,
15783,2157.22,156,97959.36,51942.93,97.74,2,0.29,0.654,53,2041,4,0.745,0,0,
15784,1550.93,130,49396.18,22774.92,42.31,2,0.578,0.471,159,1106,6,0.47,0,0,
15785,5319.84,46,39871.59,37840.78,37.48,3,0.713,0.602,66,501,0,0.927,0,0,
15786,2370.74,111,72089.55,31363.74,55.58,1,0.956,0.046,10,865,6,0.585,1,1,12.0
15787,944.52,172,77222.85,72122.36,94.4,2,0.561,0.098,46,1723,7,0.209,0,0,
15788,4632.48,146,35597.0,22948.06,96.77,1,0.162,0.51,5,1403,1,0.13,0,0,
15789,1136.3,37,24791.03,12573.75,69.94,1,0.061,0.724,141,1541,5,0.273,0,0,
